Cost of MST is 299.0 and below are the list of branches

  Branch              Cost


 00 --- 01              1.0

 00 --- 10              1.0

 00 --- 11              1.0

 01 --- 02              1.0

 01 --- 12              1.0

 10 --- 20              1.0

 10 --- 21              1.0

 11 --- 22              1.0

 12 --- 23              1.0

 02 --- 13              1.0

 02 --- 03              1.0

 13 --- 04              1.0

 23 --- 34              1.0

 23 --- 14              1.0

 34 --- 35              1.0

 04 --- 15              1.0

 35 --- 36              1.0

 20 --- 30              1.0

 36 --- 37              1.0

 30 --- 40              1.0

 23 --- 24              1.0

 30 --- 41              1.0

 04 --- 05              1.0

 34 --- 44              1.0

 34 --- 45              1.0

 35 --- 46              1.0

 41 --- 42              1.0

 34 --- 43              1.0

 36 --- 47              1.0

 34 --- 25              1.0

 37 --- 48              1.0

 35 --- 26              1.0

 36 --- 27              1.0

 48 --- 49              1.0

 15 --- 16              1.0

 44 --- 54              1.0

 40 --- 50              1.0

 37 --- 28              1.0

 40 --- 51              1.0

 15 --- 06              1.0

 41 --- 52              1.0

 44 --- 53              1.0

 28 --- 29              1.0

 44 --- 55              1.0

 45 --- 56              1.0

 46 --- 57              1.0

 29 --- 210              1.0

 26 --- 17              1.0

 47 --- 58              1.0

 17 --- 08              1.0

 57 --- 68              1.0

 58 --- 69              1.0

 48 --- 59              1.0

 210 --- 211              1.0

 49 --- 510              1.0

 211 --- 112              1.0

 69 --- 610              1.0

 112 --- 123              1.0

 112 --- 122              1.0

 112 --- 121              1.0

 29 --- 110              1.0

 210 --- 111              1.0

 112 --- 012              1.0

 211 --- 212              1.0

 110 --- 100              1.0

 112 --- 101              1.0

 112 --- 102              1.0

 112 --- 103              1.0

 112 --- 213              1.0

 112 --- 013              1.0

 211 --- 112              1.0

 510 --- 511              1.0

 112 --- 113              1.0

 213 --- 214              1.0

 20 --- 31              1.0

 27 --- 18              1.0

 123 --- 114              1.0

 28 --- 19              1.0

 214 --- 115              1.0

 511 --- 512              1.0

 013 --- 014              1.0

 21 --- 32              1.0

 115 --- 216              1.0

 115 --- 116              1.0

 512 --- 513              1.0

 50 --- 60              1.0

 216 --- 117              1.0

 60 --- 70              1.0

 48 --- 39              1.0

 510 --- 611              1.0

 112 --- 113              1.0

 511 --- 612              1.0

 512 --- 613              1.0

 116 --- 107              1.0

 123 --- 134              1.0

 121 --- 130              1.0

 216 --- 217              1.0

 123 --- 124              1.0

 513 --- 614              1.0

 60 --- 71              1.0

 123 --- 114              1.0

 116 --- 017              1.0

 37 --- 38              1.0

 49 --- 310              1.0

 130 --- 140              1.0

 114 --- 125              1.0

 71 --- 72              1.0

 134 --- 144              1.0

 210 --- 311              1.0

 70 --- 80              1.0

 70 --- 81              1.0

 110 --- 010              1.0

 513 --- 414              1.0

 107 --- 97              1.0

 512 --- 413              1.0

 71 --- 82              1.0

 72 --- 83              1.0

 102 --- 93              1.0

 510 --- 411              1.0

 414 --- 415              1.0

 97 --- 88              1.0

